iteration;totalTime;id;molA;molB;molC;molD
226;226;1;1113;441;200;472
227;227;1;1119;442;200;477
228;228;1;1123;442;200;481
229;229;1;1126;442;200;484
230;230;1;1132;444;200;488
231;231;1;1134;440;200;494
232;232;1;1142;443;200;499
233;233;1;1147;445;200;502
234;234;1;1151;448;200;503
235;235;1;1157;445;200;512
236;236;1;1161;447;200;514
237;237;1;1164;448;200;516
238;238;1;1171;449;200;522
239;239;1;1172;444;200;528
240;240;1;1174;441;200;533
241;241;1;1180;442;200;538
242;242;1;1186;445;200;541
243;243;1;1190;445;200;545
244;244;1;1196;448;200;548
245;245;1;1200;449;200;551
246;246;1;1208;452;200;556
247;247;1;1211;451;200;560
248;248;1;1214;450;200;564
249;249;1;1218;451;200;567
250;250;1;1227;459;200;568
251;251;1;1232;457;200;575
252;252;1;1238;462;200;576
253;253;1;1244;463;200;581
254;254;1;1247;457;200;590
255;255;1;1254;458;200;596
256;256;1;1262;461;200;601
257;257;1;1266;460;200;606
258;258;1;1270;456;200;614
259;259;1;1273;454;200;619
260;260;1;1277;454;200;623
261;261;1;1282;451;200;631
262;262;1;1286;448;200;638
263;263;1;1293;452;200;641
264;264;1;1297;450;200;647
265;265;1;1300;447;200;653
266;266;1;1305;449;200;656
267;267;1;1307;448;200;659
268;268;1;1314;449;200;665
269;269;1;1315;446;200;669
270;270;1;1317;443;200;674
271;271;1;1325;446;200;679
272;272;1;1330;449;200;681
273;273;1;1333;449;200;684
274;274;1;1339;452;200;687
275;275;1;1343;449;200;694
276;276;1;1345;443;200;702
277;277;1;1354;448;200;706
278;278;1;1359;449;200;710
279;279;1;1363;447;200;716
280;280;1;1369;448;200;721
281;281;1;1374;448;200;726
282;282;1;1379;449;200;730
283;283;1;1382;447;200;735
284;284;1;1386;448;200;738
285;285;1;1394;454;200;740
286;286;1;1399;454;200;745
287;287;1;1406;453;200;753
288;288;1;1413;457;200;756
289;289;1;1418;456;200;762
290;290;1;1425;456;200;769
291;291;1;1429;458;200;771
292;292;1;1436;462;200;774
293;293;1;1438;459;200;779
294;294;1;1442;458;200;784
295;295;1;1448;460;200;788
296;296;1;1455;464;200;791
297;297;1;1460;467;200;793
298;298;1;1465;467;200;798
299;299;1;1469;467;200;802
300;300;1;1476;469;200;807
301;301;1;1480;466;200;814
302;302;1;1482;464;200;818
303;303;1;1487;464;200;823
304;304;1;1490;460;200;830
305;305;1;1494;461;200;833
306;306;1;1498;464;200;834
307;307;1;1504;465;200;839
308;308;1;1507;465;200;842
309;309;1;1509;461;200;848
310;310;1;1511;459;200;852
311;311;1;1516;455;200;861
312;312;1;1522;455;200;867
313;313;1;1527;452;200;875
314;314;1;1528;449;200;879
315;315;1;1531;449;200;882
316;316;1;1541;454;200;887
317;317;1;1546;457;200;889
318;318;1;1552;458;200;894
319;319;1;1562;466;200;896
320;320;1;1567;466;200;901
321;321;1;1581;477;200;904
322;322;1;1585;479;200;906
323;323;1;1588;475;200;913
324;324;1;1595;480;200;915
325;325;1;1602;484;200;918
326;326;1;1608;487;200;921
327;327;1;1611;485;200;926
328;328;1;1617;485;200;932
329;329;1;1619;481;200;938
330;330;1;1623;478;200;945
331;331;1;1632;481;200;951
332;332;1;1639;481;200;958
333;333;1;1643;482;200;961
334;334;1;1645;478;200;967
335;335;1;1651;478;200;973
336;336;1;1654;477;200;977
337;337;1;1659;481;200;978
338;338;1;1661;475;200;986
339;339;1;1665;476;200;989
340;340;1;1672;479;200;993
341;341;1;1676;479;200;997
342;342;1;1679;472;200;1007
343;343;1;1681;466;200;1015
344;344;1;1687;469;200;1018
345;345;1;1691;470;200;1021
346;346;1;1696;474;200;1022
347;347;1;1702;477;200;1025
348;348;1;1706;474;200;1032
349;349;1;1713;478;200;1035
350;350;1;1716;478;200;1038
351;351;1;1724;482;200;1042
352;352;1;1730;478;200;1052
353;353;1;1734;478;200;1056
354;354;1;1739;479;200;1060
355;355;1;1743;476;200;1067
356;356;1;1748;474;200;1074
357;357;1;1755;478;200;1077
358;358;1;1759;481;200;1078
359;359;1;1763;481;200;1082
360;360;1;1767;482;200;1085
361;361;1;1775;485;200;1090
362;362;1;1781;487;200;1094
363;363;1;1790;486;200;1104
364;364;1;1797;489;200;1108
365;365;1;1799;488;200;1111
366;366;1;1805;490;200;1115
367;367;1;1812;493;200;1119
368;368;1;1816;494;201;1121
369;369;1;1822;497;200;1125
370;370;1;1830;500;200;1130
371;371;1;1833;501;200;1132
372;372;1;1836;503;200;1133
373;373;1;1844;500;200;1144
374;374;1;1850;503;200;1147
375;375;1;1853;501;200;1152
376;376;1;1859;506;200;1153
377;377;1;1865;505;200;1160
378;378;1;1869;500;200;1169
379;379;1;1877;502;200;1175
380;380;1;1882;502;200;1180
381;381;1;1886;502;200;1184
382;382;1;1887;496;200;1191
383;383;1;1891;494;200;1197
384;384;1;1895;492;200;1203
385;385;1;1901;492;200;1209
386;386;1;1905;490;200;1215
387;387;1;1909;489;200;1220
388;388;1;1912;488;200;1224
389;389;1;1915;482;200;1233
390;390;1;1921;485;200;1236
391;391;1;1927;485;201;1241
392;392;1;1933;488;200;1245
393;393;1;1937;484;200;1253
394;394;1;1943;487;200;1256
395;395;1;1948;486;200;1262
396;396;1;1953;488;200;1265
397;397;1;1957;488;200;1269
398;398;1;1959;488;200;1271
399;399;1;1963;489;200;1274
400;400;1;1967;490;200;1277
401;401;1;1974;494;200;1280
402;402;1;1985;499;200;1286
403;403;1;1987;493;200;1294
404;404;1;1995;495;200;1300
405;405;1;1996;494;200;1302
406;406;1;2001;492;200;1309
407;407;1;2008;496;200;1312
408;408;1;2014;495;200;1319
409;409;1;2021;490;200;1331
410;410;1;2023;486;200;1337
411;411;1;2025;486;200;1339
412;412;1;2029;486;200;1343
413;413;1;2037;491;200;1346
414;414;1;2043;493;200;1350
415;415;1;2047;492;200;1355
416;416;1;2051;492;200;1359
417;417;1;2057;492;200;1365
418;418;1;2064;496;200;1368
419;419;1;2067;495;200;1372
420;420;1;2071;492;200;1379
421;421;1;2079;497;200;1382
422;422;1;2082;494;200;1388
423;423;1;2085;490;200;1395
424;424;1;2086;489;200;1397
425;425;1;2093;493;200;1400
426;426;1;2095;492;200;1403
427;427;1;2099;493;200;1406
428;428;1;2103;491;200;1412
429;429;1;2106;486;200;1420
430;430;1;2110;485;200;1425
431;431;1;2114;484;200;1430
432;432;1;2123;485;200;1438
433;433;1;2126;479;200;1447
434;434;1;2129;478;200;1451
435;435;1;2135;480;200;1455
436;436;1;2143;485;200;1458
437;437;1;2149;486;200;1463
438;438;1;2151;482;200;1469
439;439;1;2163;486;200;1477
440;440;1;2167;487;200;1480
441;441;1;2173;489;200;1484
442;442;1;2178;486;200;1492
443;443;1;2181;483;200;1498
444;444;1;2186;485;200;1501
445;445;1;2189;483;200;1506
446;446;1;2195;484;200;1511
447;447;1;2198;482;200;1516
448;448;1;2203;484;200;1519
449;449;1;2209;487;200;1522
450;450;1;2215;490;200;1525
451;451;1;2223;495;200;1528
452;452;1;2227;494;200;1533
453;453;1;2232;495;200;1537
454;454;1;2234;487;200;1547
455;455;1;2241;490;200;1551
456;456;1;2247;490;200;1557
457;457;1;2251;489;200;1562
458;458;1;2256;489;200;1567
459;459;1;2260;489;200;1571
460;460;1;2267;490;200;1577
461;461;1;2272;493;200;1579
462;462;1;2276;496;200;1580
463;463;1;2283;498;200;1585
464;464;1;2288;500;200;1588
465;465;1;2291;499;200;1592
466;466;1;2294;494;200;1600
467;467;1;2301;496;200;1605
468;468;1;2307;492;200;1615
469;469;1;2310;490;200;1620
470;470;1;2319;495;200;1624
471;471;1;2324;492;200;1632
472;472;1;2329;490;200;1639
473;473;1;2336;491;200;1645
474;474;1;2339;488;200;1651
475;475;1;2346;492;200;1654
476;476;1;2353;493;200;1660
