iteration;totalTime;id;molA;molB;molC;molD
904;904;1;4436;459;200;3777
905;905;1;4442;460;200;3782
906;906;1;4443;456;200;3787
907;907;1;4450;457;200;3793
908;908;1;4455;459;200;3796
909;909;1;4459;456;200;3803
910;910;1;4467;462;200;3805
911;911;1;4475;466;200;3809
912;912;1;4480;464;200;3816
913;913;1;4488;470;200;3818
914;914;1;4491;470;200;3821
915;915;1;4494;468;200;3826
916;916;1;4497;465;200;3832
917;917;1;4501;461;200;3840
918;918;1;4509;463;200;3846
919;919;1;4515;464;200;3851
920;920;1;4518;462;200;3856
921;921;1;4527;467;200;3860
922;922;1;4533;463;200;3870
923;923;1;4539;459;200;3880
924;924;1;4542;457;200;3885
925;925;1;4544;452;200;3892
926;926;1;4547;451;200;3896
927;927;1;4555;456;200;3899
928;928;1;4563;461;200;3902
929;929;1;4568;461;200;3907
930;930;1;4572;462;200;3910
931;931;1;4576;460;200;3916
932;932;1;4584;464;200;3920
933;933;1;4589;464;200;3925
934;934;1;4593;462;200;3931
935;935;1;4596;460;200;3936
936;936;1;4596;455;200;3941
937;937;1;4598;445;200;3953
938;938;1;4605;449;200;3956
939;939;1;4607;450;200;3957
940;940;1;4614;451;200;3963
941;941;1;4616;449;200;3967
942;942;1;4618;446;200;3972
943;943;1;4623;445;200;3978
944;944;1;4625;444;200;3981
945;945;1;4633;450;200;3983
946;946;1;4636;447;200;3989
947;947;1;4639;447;200;3992
948;948;1;4643;445;200;3998
949;949;1;4646;442;200;4004
950;950;1;4649;442;200;4007
951;951;1;4654;446;200;4008
952;952;1;4659;446;200;4013
953;953;1;4662;442;200;4020
954;954;1;4669;440;200;4029
955;955;1;4673;437;200;4036
956;956;1;4680;441;200;4039
957;957;1;4687;446;200;4041
958;958;1;4690;441;200;4049
959;959;1;4691;439;200;4052
960;960;1;4694;437;200;4057
961;961;1;4704;442;200;4062
962;962;1;4711;446;200;4065
963;963;1;4716;446;200;4070
964;964;1;4724;451;200;4073
965;965;1;4731;451;200;4080
966;966;1;4740;456;200;4084
967;967;1;4745;457;200;4088
968;968;1;4748;458;200;4090
969;969;1;4753;455;200;4098
970;970;1;4756;455;200;4101
971;971;1;4763;458;200;4105
972;972;1;4772;465;200;4107
973;973;1;4778;469;200;4109
974;974;1;4781;467;200;4114
975;975;1;4787;468;200;4119
976;976;1;4788;462;200;4126
977;977;1;4791;463;200;4128
978;978;1;4795;464;200;4131
979;979;1;4799;466;200;4133
980;980;1;4800;464;200;4136
981;981;1;4808;465;200;4143
982;982;1;4813;466;200;4147
983;983;1;4818;461;200;4157
984;984;1;4825;460;200;4165
985;985;1;4832;462;200;4170
986;986;1;4838;462;200;4176
987;987;1;4842;462;200;4180
988;988;1;4847;461;200;4186
989;989;1;4849;461;200;4188
990;990;1;4854;459;200;4195
991;991;1;4858;461;200;4197
992;992;1;4866;466;200;4200
993;993;1;4870;465;200;4205
994;994;1;4874;466;200;4208
995;995;1;4878;464;200;4214
996;996;1;4882;464;200;4218
997;997;1;4888;469;200;4219
998;998;1;4896;465;200;4231
999;999;1;4899;463;200;4236
1000;1000;1;4907;465;200;4242
1001;1001;1;4914;470;200;4244
